date,plot,location,treatment,replicate,irrigated,fertilizer_rate_kg_ha,crop,yield_kg_ha,year,crop_group,scheduled_n_rate_kg_ha,rate_recovered,n_rate_kg_ha,heat_days_30c_gs,dry_days_lt1mm_gs,n100,irrigated_binary,time_c,heat_days_30c_gs_z,dry_days_lt1mm_gs_z,heat_dry_stress_z,status
2002-10-17,407,B,3,4,f,67.0,Zea mays L.,3804.0,2002,corn,67,False,67.0,35,164,0.67,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,408,B,7,4,f,202.0,Zea mays L.,4798.0,2002,corn,202,False,202.0,35,164,2.02,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,409,B,9,4,f,291.0,Zea mays L.,4861.0,2002,corn,291,False,291.0,35,164,2.91,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,501,C,1,1,f,0.0,Zea mays L.,4624.0,2002,corn,0,False,0.0,35,164,0.0,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,504,C,4,1,f,101.0,Zea mays L.,5510.0,2002,corn,101,False,101.0,35,164,1.01,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,505,C,5,1,f,134.0,Zea mays L.,6085.0,2002,corn,134,False,134.0,35,164,1.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,506,C,6,1,f,168.0,Zea mays L.,5971.0,2002,corn,168,False,168.0,35,164,1.68,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,507,C,7,1,f,202.0,Zea mays L.,6480.0,2002,corn,202,False,202.0,35,164,2.02,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,601,C,7,2,f,202.0,Zea mays L.,5553.0,2002,corn,202,False,202.0,35,164,2.02,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,602,C,2,2,f,34.0,Zea mays L.,5482.0,2002,corn,34,False,34.0,35,164,0.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,603,C,1,2,f,0.0,Zea mays L.,3911.0,2002,corn,0,False,0.0,35,164,0.0,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,604,C,5,2,f,134.0,Zea mays L.,6967.0,2002,corn,134,False,134.0,35,164,1.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,605,C,3,2,f,67.0,Zea mays L.,5716.0,2002,corn,67,False,67.0,35,164,0.67,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
